 -205.47 3.57 -110.34 72.84 31.56 -63.93 -3.62 -7.80 15.02 24.08 10.77 -14.43 6.95 4.79 -7.46 0.82 7.49 -15.91 11.10 -9.98 20.68 -4.89 4.25 -16.38 3.68 -1.09 7.87 1.02 11.67 -1.63 -2.06 -5.63 9.31 -13.28 -1.07 1.63 -18.39 -5.76 -35.60 -0.85
 55.49 -11.36 -4.71 -64.92 6.19 22.95 4.94 10.81 21.77 5.29 6.59 20.65 -19.67 -10.31 -3.89 4.72 -12.93 0.86 3.66 0.41 -2.40 -9.41 23.19 2.55 -16.60 -3.44 -4.88 2.66 8.55 -4.68 -5.74 3.25 2.73 8.13 -29.73 9.67 -7.24 -12.68 -8.07 37.55
 -43.59 140.05 82.08 63.73 27.66 10.74 -40.27 16.78 -16.24 29.32 26.99 -11.49 -2.64 8.19 6.49 4.23 1.84 -2.24 21.82 13.45 7.96 -3.53 11.22 6.82 -5.37 -27.86 -8.22 -1.32 11.20 -3.66 3.75 -10.25 -16.86 -32.58 -8.05 -7.88 6.27 21.89 -34.65 25.18
 -5.35 37.39 17.72 138.76 94.82 -79.55 -65.10 9.69 -38.14 -23.58 6.48 -5.92 -0.40 22.38 1.53 0.72 0.89 8.95 -15.23 14.77 -2.99 2.96 -7.61 23.66 -10.31 3.57 -7.09 -4.42 -6.94 2.76 13.85 4.57 -6.62 -1.34 -1.66 41.64 -5.71 14.57 -31.54 -46.09
 148.79 -105.35 76.46 -20.05 -45.34 -17.76 -17.57 -56.49 1.92 5.91 -7.41 -2.87 -5.54 9.04 3.41 17.71 -16.31 -16.35 -6.35 -7.82 -9.59 3.68 -2.50 13.00 0.87 -8.71 1.71 -6.86 0.68 12.52 -3.24 -8.05 -5.51 1.47 10.71 11.52 1.29 10.84 -6.46 21.85
 -52.07 102.82 -9.37 84.29 -75.40 -21.01 -15.49 -13.82 -5.18 -27.69 -2.93 -1.90 7.97 10.87 -3.82 5.68 -3.87 7.81 2.75 -2.94 -1.16 4.95 -8.45 11.30 1.94 -10.82 7.88 -3.87 17.76 -0.47 8.02 -1.31 -8.63 -19.42 -11.97 -10.18 39.93 -21.53 -13.17 -59.30
 29.15 51.81 40.67 38.79 11.89 81.70 -11.93 -13.27 -12.90 25.05 -28.46 -20.70 3.65 -11.76 -3.06 -11.15 1.31 -5.56 17.47 -5.26 -9.79 1.85 1.19 -14.75 3.57 -9.80 -11.86 4.93 -4.98 -31.26 -0.96 7.42 20.07 -18.22 -2.00 -2.43 20.01 24.55 36.77 18.71
 -19.88 -4.81 -85.42 18.45 -42.75 -2.05 -14.47 35.33 -11.39 -18.38 -7.31 -11.50 -6.61 2.71 -1.89 0.79 2.74 6.51 -11.00 11.75 -5.38 -2.02 -11.74 8.23 -4.25 9.00 16.73 4.38 -1.62 12.50 15.39 -3.74 -6.85 14.41 20.21 4.85 -31.45 9.34 -9.58 -128.29
 -87.59 115.30 -100.27 -60.87 -77.15 -14.99 -19.28 4.30 -4.90 -19.58 -1.36 4.23 5.63 -3.73 -1.93 4.06 4.24 -16.40 -8.97 -5.12 -14.06 9.77 -11.70 3.72 -0.37 -11.44 -3.59 1.96 -1.06 14.69 -23.25 -5.24 -13.23 -15.24 -4.99 0.48 -12.98 44.98 -53.25 -70.04
 -34.15 -51.29 -18.32 -103.91 -60.60 2.09 8.87 -2.02 -3.76 7.42 3.82 -12.30 8.43 -14.47 -19.51 0.17 3.95 -8.70 -8.71 19.88 -10.53 -0.65 5.65 -7.38 9.75 -3.84 -19.05 -0.69 -9.05 -1.04 8.20 -4.15 -6.53 -17.35 -6.14 -2.04 5.03 23.28 -42.97 -3.11
 -69.88 -20.96 29.87 110.21 -18.29 43.38 -8.23 14.30 -13.31 -3.19 -20.50 -12.16 -14.07 -6.76 -6.15 8.22 -2.81 4.62 1.01 2.61 -15.31 -11.47 6.81 -0.78 7.17 -4.62 3.64 2.56 -2.93 4.21 -14.60 -5.69 3.40 4.57 3.51 6.57 10.83 -13.90 4.88 14.66
 44.41 -42.72 63.88 1.21 83.00 50.71 33.72 14.03 -26.10 -14.91 17.72 -4.56 -5.18 5.34 -5.94 2.13 2.22 -8.92 -3.43 -5.80 -1.25 -0.97 1.01 -8.25 14.44 -9.02 -5.58 1.43 12.27 4.14 8.49 -2.46 4.73 -9.58 12.89 -2.69 -2.46 23.11 -1.63 4.97
 -40.06 18.31 12.14 -51.91 124.53 -6.76 -9.33 -35.01 9.84 10.95 -1.04 9.28 5.30 -6.93 -5.03 -0.77 4.45 5.61 -5.77 -1.11 10.85 -1.61 7.11 4.69 16.28 -2.66 -11.44 21.57 -8.67 -14.31 -7.75 16.15 14.61 -8.68 15.90 -13.21 31.00 45.09 30.49 -52.65
 100.27 -68.07 -10.55 -83.30 16.53 -34.94 7.45 3.19 28.45 -4.99 -24.20 -11.66 -8.72 5.76 -8.45 6.19 -2.73 1.66 3.24 -12.24 -3.01 -3.71 -8.26 -5.69 13.23 -8.09 -6.74 7.40 -10.36 -3.99 -1.66 -2.76 1.99 -8.93 -13.25 -3.07 -20.48 9.67 -50.00 46.53
 -121.88 -10.46 80.74 -43.48 -38.46 -64.12 -12.23 -1.36 24.69 5.53 -6.68 12.03 2.05 17.08 1.63 10.87 2.91 9.89 -0.73 -1.04 2.88 -15.11 -3.48 -11.26 12.04 -2.57 -7.51 -4.30 -6.88 8.73 -3.33 0.80 -22.87 1.83 34.06 -19.08 -35.67 8.90 -14.25 38.79
